,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
0,Game of Thrones,A,57,"Adventure, Drama, Action",9.3,Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,1773458,2011,2019.0,9.0,16
1,Breaking Bad,18,49,"Drama, Thriller, Crime",9.5,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,1468887,2008,2013.0,6.0,16
2,The Walking Dead,18+,44,"Drama, Thriller, Horror",8.2,Andrew Lincoln,Norman Reedus,Melissa McBride,Danai Gurira,854698,2010,,,16
3,Friends,13+,22,"Romance, Comedy",8.9,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,829816,1994,2004.0,11.0,AL
4,Stranger Things,15,51,"Fantasy, Drama, Horror",8.7,Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,824966,2016,,,16
5,Sherlock,UA,88,"Mystery, Drama, Crime",9.1,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,808717,2010,2017.0,8.0,16
6,The Big Bang Theory,U,22,"Romance, Comedy",8.1,Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helberg,724187,2007,2019.0,13.0,AL
7,Dexter,A,53,"Mystery, Drama, Crime",8.6,Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,647136,2006,2021.0,16.0,16
8,How I Met Your Mother,15+,22,"Romance, Comedy",8.3,Josh Radnor,Jason Segel,Cobie Smulders,Neil Patrick Harris,603824,2005,2014.0,10.0,AL
9,True Detective,A,55,"Mystery, Drama, Crime",9.0,Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,500194,2014,,,16
10,Lost,A,44,"Fantasy, Adventure, Drama",8.3,Jorge Garcia,Josh Holloway,Yunjin Kim,Evangeline Lilly,496290,2004,2010.0,7.0,12
11,Prison Break,UA,44,"Drama, Crime, Action",8.3,Dominic Purcell,Wentworth Miller,Amaury Nolasco,Robert Knepper,477157,2005,2017.0,13.0,12
12,House of Cards,16+,51,Drama,8.7,Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,467371,2013,2018.0,6.0,16
13,Black Mirror,A,60,"Drama, Thriller, Sci-Fi",8.8,Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,445745,2011,,,16
14,Vikings,A,44,"Adventure, Drama, Action",8.5,Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,433717,2013,2020.0,8.0,16
15,Westworld,A,62,"Mystery, Drama, Sci-Fi",8.6,Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton,428960,2016,,,16
16,The Office,U,22,Comedy,8.9,Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,415367,2005,2013.0,9.0,6
17,House M.D.,UA,44,"Mystery, Drama",8.7,Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,415258,2004,2012.0,9.0,12
18,Arrow,A,42,"Adventure, Crime, Action",7.5,Stephen Amell,Katie Cassidy,David Ramsey,Susanna Thompson,407897,2012,2020.0,9.0,12
19,Supernatural,16+,44,"Fantasy, Drama, Horror",8.4,Jared Padalecki,Jensen Ackles,Jim Beaver,Misha Collins,393142,2005,2020.0,16.0,16
20,Rick and Morty,16+,23,"Animation, Adventure, Comedy",9.2,Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,376795,2013,,,12
21,The Simpsons,U,22,"Animation, Comedy",8.7,Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,366039,1989,,,AL
22,Suits,13+,44,"Drama, Comedy",8.5,Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Rafferty,364077,2011,2019.0,9.0,12
23,Daredevil,18+,54,"Drama, Crime, Action",8.6,Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,363031,2015,2018.0,4.0,16
24,Narcos,A,49,"Biography, Drama, Crime",8.8,Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,358462,2015,2017.0,3.0,16
25,Modern Family,12+,22,"Romance, Drama, Comedy",8.4,Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrell,356381,2009,2020.0,12.0,AL
26,Peaky Blinders,A,60,"Drama, Crime",8.8,Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,350627,2013,,,16
27,Mr. Robot,16+,49,"Drama, Thriller, Crime",8.6,Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,334009,2015,2019.0,5.0,12
28,South Park,18+,22,"Animation, Comedy",8.7,Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,331830,1997,,,12
29,Fargo,16+,53,"Drama, Thriller, Crime",8.9,Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,328350,2014,,,16
30,Better Call Saul,16+,46,"Drama, Crime",8.7,Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,324868,2015,2021.0,7.0,16
31,Homeland,UA,55,"Mystery, Drama, Crime",8.3,Claire Danes,Mandy Patinkin,Damian Lewis,Rupert Friend,313410,2011,2020.0,10.0,12
32,The Flash,12+,43,"Adventure, Drama, Action",7.7,Grant Gustin,Candice Patton,Danielle Panabaker,Carlos Valdes,305593,2014,,,12
33,Family Guy,13,22,"Animation, Comedy",8.1,Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis,304879,1999,,,12
34,The Sopranos,15+,55,"Drama, Crime",9.2,James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,303082,1999,2007.0,9.0,16
35,The Witcher,NA,60,"Fantasy, Adventure, Action",8.2,Henry Cavill,Freya Allan,Yasen Atour,Basil Eidenbenz,301304,2019,,,16
36,La casa de papel,16+,70,"Mystery, Crime, Action",8.3,Úrsula Corberó,Álvaro Morte,Itziar Ituño,Pedro Alonso,299735,2017,,,12
37,The Mandalorian,U,40,"Adventure, Action, Sci-Fi",8.8,Pedro Pascal,Gina Carano,Giancarlo Esposito,Chris Bartlett,291461,2019,,,12
38,The Wire,15+,59,"Drama, Thriller, Crime",9.3,Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,286093,2002,2008.0,7.0,16
39,Dark,16+,60,"Mystery, Drama, Crime",8.8,Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,285156,2017,2020.0,4.0,12
40,The Vampire Diaries,16+,43,"Fantasy, Drama, Horror",7.7,Nina Dobrev,Paul Wesley,Ian Somerhalder,Kat Graham,283524,2009,2017.0,9.0,16
41,Orange Is the New Black,18+,59,"Drama, Crime, Comedy",8.1,Taylor Schilling,Danielle Brooks,Taryn Manning,Emma Myles,279138,2013,2019.0,7.0,12
42,American Horror Story,A,60,"Drama, Thriller, Horror",8.0,Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson,277746,2011,,,16
43,Arrested Development,A,22,Comedy,8.7,Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,277090,2003,2019.0,17.0,12
44,Sons of Anarchy,18,45,"Drama, Thriller, Crime",8.5,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,260564,2008,2014.0,7.0,16
45,13 Reasons Why,16+,60,"Mystery, Drama, Thriller",7.6,Dylan Minnette,Katherine Langford,Christian Navarro,Alisha Boe,256630,2017,2020.0,4.0,16
46,Seinfeld,13,22,Comedy,8.8,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,256151,1989,1998.0,10.0,6
47,Grey's Anatomy,15+,41,"Romance, Drama",7.6,Ellen Pompeo,Chandra Wilson,James Pickens Jr.,Justin Chambers,251568,2005,,,6
48,Avatar: The Last Airbender,U,23,"Animation, Adventure, Action",9.2,Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena,248751,2005,2008.0,4.0,6
49,The Boys,18+,60,"Comedy, Crime, Action",8.7,Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,248397,2019,,,16
50,Firefly,NA,44,"Adventure, Drama, Sci-Fi",9.0,Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,244134,2002,2003.0,2.0,16
51,Two and a Half Men,16+,22,"Romance, Comedy",7.0,Jon Cryer,Ashton Kutcher,Angus T. Jones,Conchata Ferrell,241529,2003,2015.0,13.0,AL
52,Death Note: Desu nôto,16+,24,"Animation, Drama, Crime",9.0,Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,239363,2006,2007.0,2.0,12
53,Scrubs,NA,22,"Drama, Comedy",8.3,Zach Braff,Donald Faison,Sarah Chalke,John C. McGinley,236624,2001,2010.0,10.0,6
54,Lucifer,15,42,"Fantasy, Drama, Crime",8.1,Tom Ellis,Lauren German,Kevin Alejandro,D.B. Woodside,233488,2016,,,12
55,Heroes,16,45,"Fantasy, Drama, Sci-Fi",7.5,Jack Coleman,Hayden Panettiere,Milo Ventimiglia,Masi Oka,229260,2006,2010.0,5.0,12
56,True Blood,18,55,"Fantasy, Drama, Mystery",7.8,Anna Paquin,Stephen Moyer,Sam Trammell,Ryan Kwanten,229129,2008,2014.0,7.0,16
57,Hannibal,A,44,"Drama, Crime, Horror",8.5,Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,228558,2013,2015.0,3.0,16
58,Brooklyn Nine-Nine,13+,22,"Crime, Comedy",8.4,Andy Samberg,Stephanie Beatriz,Terry Crews,Melissa Fumero,226619,2013,2022.0,10.0,6
59,Spartacus: Blood and Sand,16+,55,"Biography, Adventure, Action",8.5,Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,223612,2010,2013.0,4.0,16
60,Fringe,16,46,"Mystery, Drama, Sci-Fi",8.4,Anna Torv,Joshua Jackson,John Noble,Jasika Nicole,220496,2008,2013.0,6.0,16
61,Community,U,22,Comedy,8.5,Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,219596,2009,2015.0,7.0,AL
62,Mindhunter,16+,60,"Drama, Thriller, Crime",8.6,Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,218006,2017,2019.0,3.0,12
63,The 100,A,43,"Mystery, Drama, Sci-Fi",7.6,Eliza Taylor,Bob Morley,Marie Avgeropoulos,Isaiah Washington,216968,2014,2020.0,7.0,12
64,Parks and Recreation,13,22,Comedy,8.6,Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,214125,2009,2020.0,12.0,AL
65,Futurama,7,22,"Animation, Comedy, Sci-Fi",8.4,Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,213193,1999,2013.0,15.0,6
66,Gotham,18+,42,"Drama, Crime, Action",7.8,Ben McKenzie,Jada Pinkett Smith,Donal Logue,Camren Bicondova,212039,2014,2019.0,6.0,16
67,Once Upon a Time,16+,60,"Fantasy, Adventure, Romance",7.7,Ginnifer Goodwin,Jennifer Morrison,Lana Parrilla,Robert Carlyle,208753,2011,2018.0,8.0,12
68,Mad Men,16+,47,Drama,8.6,Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,208096,2007,2015.0,9.0,12
69,Shameless,18+,46,"Drama, Comedy",8.6,Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,203687,2011,2021.0,11.0,12
70,Shingeki no kyojin,13,24,"Animation, Adventure, Action",8.9,Yûki Kaji,Marina Inoue,Yui Ishikawa,Josh Grelle,201518,2013,,,TV-MA
71,Doctor Who,U,45,"Adventure, Drama, Family",8.6,Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,200288,2005,,,9
72,Agents of S.H.I.E.L.D.,16+,45,"Adventure, Drama, Action",7.5,Clark Gregg,Ming-Na Wen,Brett Dalton,Iain De Caestecker,200036,2013,2020.0,8.0,12
73,The X Files,NA,45,"Mystery, Drama, Crime",8.6,David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,199555,1993,2018.0,26.0,12
74,The Blacklist,16+,43,"Mystery, Drama, Crime",8.0,James Spader,Megan Boone,Diego Klattenhoff,Ryan Eggold,197895,2013,,,16
75,Jessica Jones,18,56,"Drama, Crime, Action",7.9,Krysten Ritter,Rachael Taylor,Eka Darville,Carrie-Anne Moss,193406,2015,2019.0,5.0,16
76,New Girl,15+,22,Comedy,7.7,Zooey Deschanel,Jake Johnson,Max Greenfield,Hannah Simone,192778,2011,2018.0,8.0,AL
77,It's Always Sunny in Philadelphia,15+,22,Comedy,8.8,Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,190581,2005,,,6
78,Ozark,16+,60,"Drama, Thriller, Crime",8.4,Jason Bateman,Laura Linney,Sofia Hublitz,Skylar Gaertner,188576,2017,,,16
79,The Punisher,A,53,"Drama, Crime, Action",8.5,Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,184757,2017,2019.0,3.0,16
80,Twin Peaks,18,47,"Mystery, Drama, Crime",8.8,Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,175882,1990,1991.0,2.0,16
81,The Handmaid's Tale,A,60,"Drama, Thriller, Sci-Fi",8.4,Elisabeth Moss,Yvonne Strahovski,Joseph Fiennes,Ann Dowd,172732,2017,,,16
82,Boardwalk Empire,NA,55,"Drama, Crime, History",8.5,Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,172452,2010,2014.0,5.0,16
83,24,U,44,"Drama, Crime, Action",8.3,Kiefer Sutherland,Mary Lynn Rajskub,Carlos Bernard,Dennis Haysbert,171876,2001,2010.0,10.0,12
84,Californication,18,28,"Drama, Comedy",8.3,David Duchovny,Natascha McElhone,Evan Handler,Pamela Adlon,171726,2007,2014.0,8.0,16
85,The Mentalist,16+,43,"Mystery, Drama, Crime",8.1,Simon Baker,Robin Tunney,Tim Kang,Owain Yeoman,165670,2008,,,12
86,Downton Abbey,7+,58,"Romance, Drama",8.7,Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,164119,2010,2015.0,6.0,12
87,Person of Interest,16,43,"Drama, Crime, Action",8.4,Jim Caviezel,Taraji P. Henson,Kevin Chapman,Michael Emerson,163362,2011,2016.0,6.0,12
88,Criminal Minds,NA,42,"Mystery, Drama, Crime",8.1,Matthew Gray Gubler,Kirsten Vangsness,A.J. Cook,Joe Mantegna,161622,2005,2020.0,16.0,12
89,The Umbrella Academy,16+,60,"Comedy, Adventure, Action",8.0,Elliot Page,Tom Hopper,David Castañeda,Emmy Raver-Lampman,159722,2019,,,16
90,Sex Education,A,45,"Drama, Comedy",8.3,Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Emma Mackey,159007,2019,,,16
91,Entourage,15+,28,"Drama, Comedy",8.4,Kevin Connolly,Adrian Grenier,Kevin Dillon,Jerry Ferrara,158296,2004,2011.0,8.0,AL
92,Big Little Lies,15+,60,"Mystery, Drama, Crime",8.5,Reese Witherspoon,Nicole Kidman,Shailene Woodley,Zoë Kravitz,157148,2017,2019.0,3.0,12
93,Rome,18,52,"History, Drama, Action",8.7,Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,155249,2005,2007.0,3.0,16
94,Gossip Girl,18,42,"Romance, Drama",7.4,Blake Lively,Leighton Meester,Penn Badgley,Ed Westwick,154572,2007,2012.0,6.0,12
95,That '70s Show,18,22,"Romance, Comedy",8.1,Topher Grace,Laura Prepon,Mila Kunis,Danny Masterson,154375,1998,2006.0,9.0,AL
96,Battlestar Galactica,U,44,"Adventure, Drama, Action",8.7,Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,153100,2004,2009.0,6.0,12
97,Pretty Little Liars,A,44,"Mystery, Drama, Romance",7.4,Troian Bellisario,Ashley Benson,Lucy Hale,Shay Mitchell,152443,2010,2017.0,8.0,12
98,The Crown,16+,58,"Biography, Drama, History",8.7,Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,150834,2016,,,9
99,The End of the F***ing World,18+,25,"Adventure, Crime, Comedy",8.1,Jessica Barden,Alex Lawther,Steve Oram,Christine Bottomley,146542,2017,2019.0,3.0,16
100,You,16+,45,"Romance, Drama, Crime",7.7,Penn Badgley,Victoria Pedretti,Ambyr Childers,Elizabeth Lail,144170,2018,,,16
101,Altered Carbon,16+,60,"Drama, Action, Sci-Fi",8.0,Chris Conner,Renée Elise Goldsberry,Will Yun Lee,Dichen Lachman,142763,2018,2020.0,3.0,16
102,Castle,A,43,"Drama, Crime, Comedy",8.1,Nathan Fillion,Stana Katic,Susan Sullivan,Jon Huertas,140609,2009,2016.0,8.0,12
103,Bones,15+,40,"Drama, Crime, Comedy",7.8,Emily Deschanel,David Boreanaz,Michaela Conlin,T.J. Thyne,139943,2005,2017.0,13.0,12
104,Sense8,18,60,"Mystery, Drama, Sci-Fi",8.3,Bae Doona,Jamie Clayton,Tina Desai,Tuppence Middleton,139640,2015,2018.0,4.0,16
105,Archer,18,22,"Comedy, Animation, Action",8.6,H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,137888,2009,,,6
106,Glee,18,44,"Drama, Comedy, Music",6.7,Lea Michele,Jane Lynch,Matthew Morrison,Cory Monteith,136866,2009,2015.0,7.0,AL
107,The IT Crowd,16,25,Comedy,8.5,Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,134441,2006,2013.0,8.0,AL
108,Buffy the Vampire Slayer,A,44,"Fantasy, Drama, Action",8.2,Sarah Michelle Gellar,Nicholas Brendon,Alyson Hannigan,Anthony Head,131081,1997,2003.0,7.0,6
109,Freaks and Geeks,NA,44,"Drama, Comedy",8.8,Linda Cardellini,John Francis Daley,James Franco,Samm Levine,129706,1999,2000.0,2.0,6
110,How to Get Away with Murder,18+,43,"Mystery, Drama, Crime",8.1,Viola Davis,Billy Brown,Jack Falahee,Aja Naomi King,129704,2014,2020.0,7.0,12
111,Chuck,16,43,"Comedy, Drama, Action",8.2,Zachary Levi,Yvonne Strahovski,Joshua Gomez,Vik Sahay,127430,2007,2012.0,6.0,12
112,Teen Wolf,18,41,"Fantasy, Drama, Action",7.6,Tyler Posey,Holland Roden,Dylan O'Brien,Linden Ashby,127044,2011,2017.0,7.0,12
113,Silicon Valley,15+,28,Comedy,8.5,Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,126777,2014,2019.0,6.0,AL
114,Outlander,A,64,"Fantasy, Drama, Romance",8.4,Caitriona Balfe,Sam Heughan,Duncan Lacroix,Sophie Skelton,124920,2014,,,16
115,Hagane no renkinjutsushi,18+,24,"Animation, Adventure, Action",9.1,Kent Williams,Iemasa Kayumi,Vic Mignogna,Muriel Hofmann,121914,2009,2012.0,4.0,12
116,The Fresh Prince of Bel-Air,U,22,Comedy,7.9,Will Smith,James Avery,Alfonso Ribeiro,Tatyana Ali,121909,1990,1996.0,7.0,6
117,Luther,18,60,"Mystery, Drama, Crime",8.5,Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,121482,2010,2019.0,10.0,16
118,Six Feet Under,15+,55,"Drama, Comedy",8.7,Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,121367,2001,2005.0,5.0,AL
119,NCIS: Naval Criminal Investigative Service,16,60,"Drama, Crime, Action",7.7,Mark Harmon,David McCallum,Sean Murray,Pauley Perrette,119971,2003,,,12
120,Riverdale,13+,45,"Mystery, Drama, Crime",6.9,K.J. Apa,Lili Reinhart,Camila Mendes,Cole Sprouse,118902,2017,,,12
121,White Collar,15+,40,"Drama, Crime, Comedy",8.2,Matt Bomer,Tim DeKay,Willie Garson,Tiffani Thiessen,118793,2009,2014.0,6.0,9
122,The Originals,16+,45,"Fantasy, Drama, Horror",8.2,Joseph Morgan,Daniel Gillies,Claire Holt,Phoebe Tonkin,117750,2013,2018.0,6.0,16
123,Malcolm in the Middle,12+,22,"Family, Comedy",8.0,Frankie Muniz,Bryan Cranston,Justin Berfield,Erik Per Sullivan,117745,2000,2006.0,7.0,6
124,Luke Cage,18,55,"Drama, Crime, Action",7.3,Mike Colter,Simone Missick,Theo Rossi,Alfre Woodard,116956,2016,2018.0,3.0,16
125,American Dad!,U,22,"Animation, Comedy",7.3,Seth MacFarlane,Wendy Schaal,Scott Grimes,Rachael MacFarlane,116817,2005,,,6
126,One Punch Man: Wanpanman,16+,24,"Comedy, Animation, Action",8.8,Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,116786,2015,,,TV-PG
127,Smallville,NA,60,"Romance, Adventure, Drama",7.5,Tom Welling,Michael Rosenbaum,Allison Mack,Kristin Kreuk,116499,2001,2011.0,11.0,MG6
